"Label";"Turnover volume index - Retail sale of clothing in specialised stores (NAF rev. 2, lev. Class, item 47.71) - SA-WDA data - Base 100 in 2010 - Stopped series";"Codes"
"idBank";"001777097";""
"Last update";"23/02/2018 12:00";""
"Period";"";""
"2000-11";"74.3";"A"
"2000-10";"72.6";"A"
"2000-09";"71.7";"A"
"2000-08";"71.5";"A"
"2000-07";"70.1";"A"
"2000-06";"69.6";"A"
"2000-05";"71.4";"A"
"2000-04";"69.5";"A"
"2000-03";"68.6";"A"
"2000-02";"70.8";"A"
"2000-01";"66.8";"A"
"1999-12";"68.6";"A"
"1999-11";"68.6";"A"
"1999-10";"66.9";"A"
"1999-09";"65.9";"A"
"1999-08";"66.7";"A"
"1999-07";"68.1";"A"
"1999-06";"66.6";"A"
"1999-05";"66.5";"A"
"1999-04";"65.1";"A"
"1999-03";"64.5";"A"
"1999-02";"62.9";"A"
"1999-01";"65.1";"A"
